product_id,product_title,price,brand,color,category,sub_category,product_description,rating
0,Adidas Superstar,5999,Adidas,White,Shoes,Sneakers,"The Adidas Superstar is an iconic sneaker featuring a genuine leather upper, rubber shell toe, and timeless design as sold by Adidas India.",4
1,Adidas Stan Smith,6999,Adidas,White,Shoes,Sneakers,"Adidas Stan Smith is renowned for its minimalist design with premium leather and signature perforations, available in India as a classic lifestyle sneaker.",2
2,Adidas Ultraboost DNA,11999,Adidas,Black,Shoes,Sneakers,Adidas Ultraboost DNA offers superior Boost cushioning and a flexible knit upper for dynamic movement—an authentic model in the Indian market.,3
3,Adidas NMD_R1,10999,Adidas,Blue,Shoes,Sneakers,"The Adidas NMD_R1 blends street style with performance by featuring innovative Boost cushioning and a sleek, modern design available in India.",3
4,Adidas Gazelle,4999,Adidas,Red,Shoes,Sneakers,"Adidas Gazelle is a classic sneaker known for its soft suede upper and vintage design, popular in India for casual wear.",2
5,Adidas Samba,4499,Adidas,Black,Shoes,Sneakers,"The Adidas Samba is a timeless indoor soccer-inspired sneaker, crafted with leather and suede overlays for durability and everyday style.",2
6,Adidas Forum Low,5499,Adidas,Blue,Shoes,Sneakers,"Adidas Forum Low is a retro-styled sneaker featuring a padded collar and premium leather, a favorite among Indian sneaker enthusiasts.",3
7,Adidas Originals Nizza,3999,Adidas,White,Shoes,Sneakers,The Adidas Originals Nizza is a low-top sneaker with a minimalist design ideal for everyday casual style in India.,3
8,Adidas ZX Flux,6599,Adidas,Black,Shoes,Sneakers,"Adidas ZX Flux combines a modern, layered design with lightweight construction for all-day comfort, sold as a lifestyle sneaker.",5
9,Adidas Swift Run,5299,Adidas,Blue,Shoes,Sneakers,"Adidas Swift Run is engineered for performance with breathable mesh and responsive cushioning, offering a true running experience in India.",4
10,Adidas Top Ten,3999,Adidas,Red,Shoes,Sneakers,"Adidas Top Ten delivers a retro look with durable construction and everyday comfort, a genuine model available in select Indian stores.",3
11,Adidas Supercourt,4599,Adidas,White,Shoes,Sneakers,"Adidas Supercourt features a streamlined silhouette with premium leather and subtle design accents, perfect for urban style.",2
12,Nike Air Max 90,6499,Nike,White,Shoes,Sneakers,Nike Air Max 90 is a classic sneaker known for its visible Air cushioning and heritage design that helped shape sneaker culture in India.,3
13,Nike Air Max 97,7999,Nike,Black,Shoes,Sneakers,"Nike Air Max 97 offers a futuristic design with full-length Air cushioning and reflective details, available as an authentic model in India.",4
14,Nike Air Force 1 '07,7499,Nike,Blue,Shoes,Sneakers,Nike Air Force 1 '07 updates the iconic silhouette with premium leather and classic styling for everyday wear in the Indian market.,5
15,Nike React Infinity Run Flyknit,8999,Nike,Red,Shoes,Sneakers,"Nike React Infinity Run Flyknit is engineered with responsive React foam and a supportive Flyknit upper, designed for serious runners in India.",4
16,Nike Air Zoom Pegasus 38,6499,Nike,Black,Shoes,Sneakers,"Nike Air Zoom Pegasus 38 delivers balanced cushioning and a breathable mesh upper, a trusted choice among Indian athletes.",3
17,Nike Blazer Mid '77,6999,Nike,White,Shoes,Sneakers,"Nike Blazer Mid '77 fuses vintage style with modern comfort, featuring a high-top silhouette and durable construction favored in India.",2
18,Nike Court Vision Low,5299,Nike,Blue,Shoes,Sneakers,Nike Court Vision Low is inspired by classic basketball design with retro detailing and premium materials for everyday style.,5
19,Nike Dunk Low,7599,Nike,Red,Shoes,Sneakers,"Nike Dunk Low offers bold color blocking and a durable build, a cult classic reintroduced for modern urban wear in India.",4
20,Nike Air VaporMax Flyknit 3,9999,Nike,Black,Shoes,Sneakers,"Nike Air VaporMax Flyknit 3 revolutionizes cushioning with a full-length VaporMax Air unit and lightweight Flyknit upper, available in India.",3
